Timestamp,ElapsedMillis,,Pitch,Roll,Altitude,,PitchServo,,,ElapsedMillis,Yaw,YawServo,,ElapsedMillis,Pitch,PitchServo
12:46.4,41573,,-0.48,1.46,811.2,,0,,,41573,-0.44,0,,41573,-0.48,0
12:46.5,41629,,16.35,0.01,0,,-0.29,,,41629,0.88,-0.26,,41629,16.35,-0.29
12:46.5,41686,,16.35,0.01,0,,9.98,,,41686,0.88,0.55,,41686,16.35,9.98
12:46.6,41744,,16.36,0.01,-0.1,,10.17,,,41744,0.89,0.63,,41744,16.36,10.17
12:46.6,41802,,16.36,0.01,-0.1,,10.02,,,41802,0.88,0.45,,41802,16.36,10.02
12:46.7,41858,,16.36,0.02,0,,10.26,,,41858,0.89,0.57,,41858,16.36,10.26
12:46.7,41915,,16.36,0.03,0,,10.36,,,41915,0.89,0.57,,41915,16.36,10.36
12:46.8,41973,,16.36,0.03,-0.1,,10.42,,,41973,0.9,0.58,,41973,16.36,10.42
12:46.9,42030,,16.37,0.03,-0.1,,10.57,,,42030,0.9,0.57,,42030,16.37,10.57
12:46.9,42087,,16.21,0.07,-0.2,,10.41,,,42087,1.13,1.2,,42087,16.21,10.41
12:47.0,42145,,14.99,0.06,-0.2,,7.24,,,42145,1.81,2.72,,42145,14.99,7.24
12:47.0,42202,,12.82,0.03,-0.2,,3.88,,,42202,2.7,3.79,,42202,12.82,3.88
12:47.1,42259,,10.37,0.01,-0.1,,1.55,,,42259,3.55,4.24,,42259,10.37,1.55
12:47.1,42316,,8.28,0,0.1,,0.74,,,42316,4.17,4.34,,42316,8.28,0.74
12:47.2,42373,,5.88,-0.02,0.1,,-1.24,,,42373,4.46,3.61,,42373,5.88,-1.24
12:47.3,42431,,3.2,-0.04,0.1,,-3.22,,,42431,4.22,2.32,,42431,3.2,-3.22
12:47.3,42488,,0.94,-0.03,0.1,,-4.14,,,42488,3.4,0.34,,42488,0.94,-4.14
12:47.4,42544,,-0.73,-0.04,0,,-3.48,,,42544,2.1,-1.55,,42544,-0.73,-3.48
12:47.4,42602,,-1.79,-0.04,0,,-2.59,,,42602,0.55,-3.03,,42602,-1.79,-2.59
12:47.5,42659,,-2.33,-0.03,-0.1,,-1.63,,,42659,-1.15,-4.47,,42659,-2.33,-1.63
12:47.5,42716,,-2.28,-0.03,0,,-1.33,,,42716,-1.94,-4.57,,42716,-2.28,-1.33
12:47.6,42774,,-1.16,-0.07,0.1,,2.24,,,42774,-3.11,-3.95,,42774,-1.16,2.24
12:47.7,42831,,0.55,-0.06,0,,5.33,,,42831,-3.42,-2.76,,42831,0.55,5.33
12:47.7,42888,,2.7,-0.06,-0.1,,8.11,,,42888,-3.39,-1.87,,42888,2.7,8.11
12:47.8,42945,,5.39,-0.02,-0.2,,10.69,,,42945,-3.25,-1.51,,42945,5.39,10.69
12:47.8,43002,,7.89,0,-0.2,,11.95,,,43002,-2.76,-0.65,,43002,7.89,11.95
12:47.9,43060,,9.61,0.01,-0.1,,11.36,,,43060,-1.46,1.83,,43060,9.61,11.36
12:47.9,43117,,10.09,0.04,-0.1,,9.03,,,43117,0.5,5.24,,43117,10.09,9.03
12:48.0,43174,,9.81,0.07,0,,6.88,,,43174,3.29,8.57,,43174,9.81,6.88
12:48.1,43288,,7.79,0.08,-0.1,,3.35,,,43288,10.04,14.84,,43288,7.79,3.35
12:48.2,43346,,6.65,0.06,-0.1,,2.74,,,43346,13.67,16.94,,43346,6.65,2.74
12:48.2,43402,,6.07,0.02,0,,3.58,,,43402,16.51,17.41,,43402,6.07,3.58
12:48.3,43460,,5.8,0,-0.1,,4.41,,,43460,18.31,16.19,,43460,5.8,4.41
12:48.3,43517,,5.37,-0.01,0,,3.87,,,43517,18.96,13.68,,43517,5.37,3.87
12:48.5,43632,,3.6,0.16,-0.1,,1.41,,,43632,16.52,6.47,,43632,3.6,1.41
12:48.5,43689,,2,0.2,0,,-0.29,,,43689,13.39,2.58,,43689,2,-0.29
12:48.6,43746,,0.45,0.22,0,,-2.02,,,43746,10.58,-0.26,,43746,0.45,-2.02
12:48.6,43803,,-1.59,0.24,0,,-4.3,,,43803,7.37,-2.72,,43803,-1.59,-4.3
12:48.7,43860,,-3.75,0.27,-0.1,,-5.83,,,43860,3.95,-4.99,,43860,-3.75,-5.83
12:48.7,43918,,-5.84,0.26,-0.2,,-6.79,,,43918,0.55,-6.58,,43918,-5.84,-6.79
12:48.8,43975,,-7.42,0.28,-0.1,,-6.89,,,43975,-2.27,-7.51,,43975,-7.42,-6.89
12:48.9,44032,,-8.46,0.27,-0.1,,-6.31,,,44032,-4.32,-7.07,,44032,-8.46,-6.31
12:48.9,44089,,-8.93,0.28,-0.1,,-5.09,,,44089,-5.86,-6.35,,44089,-8.93,-5.09
12:49.0,44147,,-8.33,0.27,-0.1,,-2.92,,,44147,-7.09,-6.19,,44147,-8.33,-2.92
12:49.0,44204,,-6.88,0.27,-0.1,,0.72,,,44204,-7.98,-6.34,,44204,-6.88,0.72
12:49.1,44260,,-3.91,0.28,-0.1,,5.61,,,44260,-9.14,-7.31,,44260,-3.91,5.61
