Timestamp,ElapsedMillis,dt,flight time (s),Yaw,YawServo,Pitch,PitchServo,CapYawServo,CapPitchServo,Yaw,Pitch,Roll,Altitude,YawServo,PitchServo
48:29.9,25868,0,0,8.69,5.24,6.59,3.95,5.24,3.95,8.69,6.59,-0.01,0.2,5.24,3.95
48:30.0,26036,168,0.168,7.84,3.46,6.97,4.78,3.46,4.78,7.84,6.97,-0.02,0.5,3.46,4.78
48:30.1,26093,57,0.225,5.91,-0.34,7.55,5.78,-0.34,5.78,5.91,7.55,0.03,0.7,-0.34,5.78
48:30.2,26150,57,0.282,2.13,-6.88,7.1,4.14,-6.88,4.14,2.13,7.1,0.1,0.8,-6.88,4.14
48:30.2,26208,58,0.34,-2.04,-11.69,4.79,-2.51,-7,-2.51,-2.04,4.79,0.17,0.7,-11.69,-2.51
48:30.3,26265,57,0.397,-5.48,-12.16,0.95,-8.34,-7,-7,-5.48,0.95,0.2,0.7,-12.16,-8.34
48:30.3,26323,58,0.455,-6.87,-8.13,-2.74,-11.02,-7,-7,-6.87,-2.74,0.18,0.7,-8.13,-11.02
48:30.4,26379,56,0.511,-6.42,-3.01,-5.1,-9.09,-3.01,-7,-6.42,-5.1,0.15,0.7,-3.01,-9.09
48:30.4,26436,57,0.568,-4.2,2.03,-5.69,-5.38,2.03,-5.38,-4.2,-5.69,0.11,0.8,2.03,-5.38
48:30.5,26493,57,0.625,-0.91,7.73,-4.48,-0.17,7,-0.17,-0.91,-4.48,-0.01,0.6,7.73,-0.17
48:30.6,26550,57,0.682,2.74,10.45,-1.7,5.11,7,5.11,2.74,-1.7,-0.08,0.6,10.45,5.11
48:30.6,26608,58,0.74,5.04,8.99,2.01,9.76,7,7,5.04,2.01,-0.1,0.6,8.99,9.76
48:30.7,26665,57,0.797,5.32,4.56,4.71,10.17,4.56,7,5.32,4.71,-0.08,0.6,4.56,10.17
48:30.7,26723,58,0.855,3.33,-1.75,5.52,5.95,-1.75,5.95,3.33,5.52,0,0.6,-1.75,5.95
48:30.8,26779,56,0.911,0.54,-6.5,4.87,1.89,-6.5,1.89,0.54,4.87,0.1,0.4,-6.5,1.89
48:30.9,26837,58,0.969,-2.38,-9.11,2.87,-2.97,-7,-2.97,-2.38,2.87,0.13,0.4,-9.11,-2.97
48:30.9,26894,57,1.026,-4.37,-7.5,-0.01,-6.69,-7,-6.69,-4.37,-0.01,0.14,0.4,-7.5,-6.69
